source_record,table_name,table_doi,location,observable_kind,eta_range,multiplicity_selection,pt_selection,extrapolated,x_rows,x_header,y_header,description,json_url
ins1735345,Table 18,10.17182/hepdata.91996.v2/t18,Data from figures 8 and 10 (complementary material),other,,,,False,77,<dNch/dEta>,0-10%,Spherocity intervals used in this analysis.,https://www.hepdata.net/download/table/ins1735345/Table 18/json
ins1735345,Table 5,10.17182/hepdata.91996.v2/t5,Data from figure 5,other,,,,False,10,Multiplicity class,Power-law exponent,The spectral shape is characterized by the exponent of the power-law function which fits the high-pTpart (pT&gt;6 GeV/c) of the invariant yields. The power-law exponent is presented for different V0M multiplicity classes.,https://www.hepdata.net/download/table/ins1735345/Table 5/json
ins1735345,Table 6,10.17182/hepdata.91996.v2/t6,Data from figure 5,other,,,,False,10,Multiplicity class,Power-law exponent,The spectral shape is characterized by the exponent of the power-law function which fits the high-pTpart (pT&gt;6 GeV/c) of the invariant yields. The power-law exponent is presented for different event classes based on the number of SPD tracklets.,https://www.hepdata.net/download/table/ins1735345/Table 6/json
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,pt_spectrum,,,,False,47,pT [GEV/C],d^2N/dEtadpT [C/GEV (X')],Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,https://www.hepdata.net/download/table/ins1735345/Table 1/json
ins1735345,Table 10,10.17182/hepdata.91996.v2/t10,Data from figure 10,pt_spectrum,,,,False,77,<dNch/dEta>,<pT> [GEV/C],Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 20-30% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.,https://www.hepdata.net/download/table/ins1735345/Table 10/json
ins1735345,Table 11,10.17182/hepdata.91996.v2/t11,Data from figure 10,pt_spectrum,,,,False,77,<dNch/dEta>,<pT> [GEV/C],Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 30-40% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.,https://www.hepdata.net/download/table/ins1735345/Table 11/json
ins1735345,Table 12,10.17182/hepdata.91996.v2/t12,Data from figure 10,pt_spectrum,,,,False,77,<dNch/dEta>,<pT> [GEV/C],Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 40-50% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.,https://www.hepdata.net/download/table/ins1735345/Table 12/json
ins1735345,Table 13,10.17182/hepdata.91996.v2/t13,Data from figure 10,pt_spectrum,,,,False,77,<dNch/dEta>,<pT> [GEV/C],Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 50-60% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.,https://www.hepdata.net/download/table/ins1735345/Table 13/json
ins1735345,Table 14,10.17182/hepdata.91996.v2/t14,Data from figure 10,pt_spectrum,,,,False,77,<dNch/dEta>,<pT> [GEV/C],Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 60-70% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.,https://www.hepdata.net/download/table/ins1735345/Table 14/json
ins1735345,Table 15,10.17182/hepdata.91996.v2/t15,Data from figure 10,pt_spectrum,,,,False,77,<dNch/dEta>,<pT> [GEV/C],Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 70-80% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.,https://www.hepdata.net/download/table/ins1735345/Table 15/json
ins1735345,Table 16,10.17182/hepdata.91996.v2/t16,Data from figure 10,pt_spectrum,,,,False,77,<dNch/dEta>,<pT> [GEV/C],Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 80-90% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.,https://www.hepdata.net/download/table/ins1735345/Table 16/json
ins1735345,Table 17,10.17182/hepdata.91996.v2/t17,Data from figure 8,pt_spectrum,,,,False,77,<dNch/dEta>,<pT> [GEV/C],Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 90-100% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.,https://www.hepdata.net/download/table/ins1735345/Table 17/json
ins1735345,Table 2,10.17182/hepdata.91996.v2/t2,Data from figure 2,pt_spectrum,,,,False,47,pT [GEV/C],d^2N/dEtadpT [C/GEV (X')],Transverse momentum spectra as a function of the event multiplicity for pp collisions at 5.02 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,https://www.hepdata.net/download/table/ins1735345/Table 2/json
ins1735345,Table 3,10.17182/hepdata.91996.v2/t3,Data from figure 3,pt_spectrum,,,,False,47,pT [GEV/C],d^2N/dEtadpT [C/GEV (X')],Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the signal in the VZERO detector. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,https://www.hepdata.net/download/table/ins1735345/Table 3/json
ins1735345,Table 4,10.17182/hepdata.91996.v2/t4,Data from figure 3,pt_spectrum,,,,False,47,pT [GEV/C],d^2N/dEtadpT [C/GEV (X)],Transverse momentum spectra as a function of the event multiplicity for pp collisions at 5.02 TeV. Event multiplicity is estimated with the signal in the VZERO detector. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,https://www.hepdata.net/download/table/ins1735345/Table 4/json
ins1735345,Table 7,10.17182/hepdata.91996.v2/t7,Data from figure 8,pt_spectrum,,,,False,77,<dNch/dEta>,<pT> [GEV/C],Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 0-100% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.,https://www.hepdata.net/download/table/ins1735345/Table 7/json
ins1735345,Table 8,10.17182/hepdata.91996.v2/t8,Data from figure 8,pt_spectrum,,,,False,77,<dNch/dEta>,<pT> [GEV/C],Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 0-10% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.,https://www.hepdata.net/download/table/ins1735345/Table 8/json
ins1735345,Table 9,10.17182/hepdata.91996.v2/t9,Data from figure 10,pt_spectrum,,,,False,77,<dNch/dEta>,<pT> [GEV/C],Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 10-20% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.,https://www.hepdata.net/download/table/ins1735345/Table 9/json
