group_label,model_name,component_count,success,chi2,ndf,chi2_ndf,fit_quality_flag,aic,bic,edm,has_accurate_covar,seed_index
101-125,manuscript_juttner,2,False,1550.666488121966,41,37.82113385663332,poor,1562.666488121966,1573.7673737322264,0.28050784269228424,True,2
126-150,manuscript_juttner,1,True,4550.166029973625,44,103.41286431758239,poor,4556.166029973625,4561.716472778755,3.3423051317270527e-06,True,4
126-150,exact_bose_einstein,1,True,3765.2144222766415,44,85.57305505174185,poor,3771.2144222766415,3776.764865081772,3.482483952222659e-06,True,8
126-150,tsallis,1,True,541.5096683097162,44,12.307037916129913,poor,547.5096683097162,553.0601111148463,1.395191005111452e-06,True,5
126-150,blast_wave,1,True,229.08357771080827,43,5.327525063042053,poor,237.08357771080827,244.4841681176485,0.0019344696031583933,True,20
126-150,manuscript_juttner,2,False,727.740590300714,41,17.749770495139366,poor,739.740590300714,750.8414759109743,0.09209010881669147,False,9
126-150,exact_bose_einstein,2,False,643.2131118405316,41,15.688124679037356,poor,655.2131118405316,666.3139974507919,0.17478621445395787,False,7
126-150,tsallis,2,False,18.40397443205001,41,0.44887742517195145,ok,30.40397443205001,41.504860042310355,1.5918798572460122,True,2
21-30,manuscript_juttner,1,True,2951.2156087869193,44,67.07308201788453,poor,2957.2156087869193,2962.7660515920497,4.310725177000669e-06,True,9
21-30,exact_bose_einstein,1,True,2804.546629198397,44,63.73969611814539,poor,2810.546629198397,2816.0970720035275,6.131464002337014e-06,True,4
21-30,tsallis,1,True,25.935784317575287,44,0.5894496435812565,ok,31.935784317575287,37.48622712270546,5.882069947607687e-07,True,5
21-30,blast_wave,1,True,813.6758752987782,43,18.92269477439019,poor,821.6758752987782,829.0764657056185,3.8302191925614385e-07,True,17
21-30,manuscript_juttner,2,False,741.7101212631466,41,18.09049076251577,poor,753.7101212631466,764.8110068734069,0.2617883616699104,True,5
21-30,exact_bose_einstein,2,False,676.3923156536474,41,16.497373552527986,poor,688.3923156536474,699.4932012639077,0.26639957490010713,True,3
21-30,tsallis,2,True,14.824571912295205,41,0.361574924690127,ok,26.824571912295205,37.925457522555554,0.00014314804618975458,True,1
31-40,manuscript_juttner,1,True,7055.572700163661,44,160.35392500371955,poor,7061.572700163661,7067.1231429687905,9.075532877511372e-06,True,5
31-40,exact_bose_einstein,1,True,6486.592268079155,44,147.4225515472535,poor,6492.592268079155,6498.1427108842845,6.415139079426612e-06,True,7
31-40,tsallis,1,True,288.9535551058273,44,6.567126252405166,poor,294.9535551058273,300.5039979109575,5.073475826160437e-07,True,4
31-40,blast_wave,1,True,1240.1603764298661,43,28.840938986741072,poor,1248.1603764298661,1255.5609668367063,9.815028650225414e-08,True,7
31-40,manuscript_juttner,2,True,1903.8189989666143,41,46.43460973089303,poor,1915.8189989666143,1926.9198845768747,0.00020601360206739692,True,5
31-40,exact_bose_einstein,2,False,1696.7697037682358,41,41.38462692117648,poor,1708.7697037682358,1719.870589378496,0.05530784052637218,False,3
31-40,tsallis,2,True,42.044477213967866,41,1.0254750539992163,ok,54.044477213967866,65.14536282422822,7.167307496610013e-05,True,3
41-50,manuscript_juttner,1,True,6942.026659862819,44,157.77333317870043,poor,6948.026659862819,6953.577102667949,6.619499003081763e-06,True,6
41-50,exact_bose_einstein,1,True,6278.382186403999,44,142.69050423645453,poor,6284.382186403999,6289.932629209129,9.861939576938165e-06,True,5
41-50,tsallis,1,True,400.8538570812367,44,9.11031493366447,poor,406.8538570812367,412.40429988636686,5.115102926058016e-08,True,7
41-50,blast_wave,1,True,1094.862453555898,43,25.461917524555766,poor,1102.862453555898,1110.263043962738,9.170870475580839e-08,True,24
41-50,manuscript_juttner,2,False,1889.2962270019752,41,46.08039578053598,poor,1901.2962270019752,1912.3971126122356,0.2688473449837905,True,3
41-50,exact_bose_einstein,2,False,1671.5702994995029,41,40.77000730486592,poor,1683.5702994995029,1694.6711851097632,0.025635134989265194,False,8
41-50,tsallis,2,True,54.845712134180275,41,1.3377002959556163,ok,66.84571213418027,77.94659774444062,1.796021174527823e-05,True,2
51-60,manuscript_juttner,1,True,6819.233743504834,44,154.9825850796553,poor,6825.233743504834,6830.784186309964,3.860609650247507e-06,True,4
51-60,exact_bose_einstein,1,True,6103.186716757355,44,138.7087890172126,poor,6109.186716757355,6114.7371595624845,9.883169691212494e-06,True,5
51-60,tsallis,1,True,467.59927906282326,44,10.627256342336892,poor,473.59927906282326,479.1497218679534,7.167033134803718e-08,True,5
51-60,blast_wave,1,True,1034.896540880418,43,24.067361415823672,poor,1042.896540880418,1050.297131287258,4.1153167144239626e-07,True,12
51-60,manuscript_juttner,2,False,1860.856617880419,41,45.3867467775712,poor,1872.856617880419,1883.9575034906793,0.14841869557758455,True,1
51-60,exact_bose_einstein,2,False,1644.3151511871883,41,40.10524758993142,poor,1656.3151511871883,1667.4160367974487,0.06489666108046771,False,1
51-60,tsallis,2,True,58.57938255961753,41,1.4287654282833544,ok,70.57938255961753,81.68026816987788,0.0010909723921119498,True,2
61-70,manuscript_juttner,1,True,9612.02228405772,44,218.45505191040274,poor,9618.02228405772,9623.57272686285,3.9503339200476925e-06,True,1
61-70,exact_bose_einstein,1,True,8515.392426689852,44,193.531646061133,poor,8521.392426689852,8526.942869494982,1.3841419837861765e-05,True,1
61-70,tsallis,1,True,810.3909916455435,44,18.417977082853263,poor,816.3909916455435,821.9414344506737,8.374041276976744e-08,True,8
61-70,blast_wave,1,True,1279.4514538236658,43,29.754684972643393,poor,1287.4514538236658,1294.852044230506,5.582281982701466e-07,True,25
61-70,manuscript_juttner,2,False,2514.7511016057697,41,61.335392722091946,poor,2526.7511016057697,2537.85198721603,0.19767818990328712,True,1
61-70,exact_bose_einstein,2,False,2218.1443469884225,41,54.10108163386396,poor,2230.1443469884225,2241.245232598683,0.3388748262231666,True,3
61-70,tsallis,2,True,810.3910010638947,41,19.765634172290113,poor,822.3910010638947,833.491886674155,3.6641181241900347e-06,False,6
71-80,manuscript_juttner,1,True,9314.860592235076,44,211.70137709625172,poor,9320.860592235076,9326.411035040206,2.8645851277635638e-06,True,9
71-80,exact_bose_einstein,1,True,8182.625328522728,44,185.96875746642561,poor,8188.625328522728,8194.175771327858,8.615251442036318e-06,True,9
71-80,tsallis,1,True,844.1969886715732,44,19.186295197081208,poor,850.1969886715732,855.7474314767034,1.174923198766753e-06,True,5
71-80,blast_wave,1,True,1134.6651024855498,43,26.387560522919763,poor,1142.6651024855498,1150.06569289239,2.354508061074648e-06,True,10
71-80,manuscript_juttner,2,False,2354.2448615326393,41,57.42060637884486,poor,2366.2448615326393,2377.3457471428997,0.22858433122186067,True,1
71-80,exact_bose_einstein,2,False,2071.322006990963,41,50.5200489509991,poor,2083.322006990963,2094.4228926012233,0.05800520099137764,True,1
71-80,tsallis,2,True,83.97174547462873,41,2.0480913530397253,ok,95.97174547462873,107.07263108488908,5.4697036669693684e-05,True,2
81-90,manuscript_juttner,1,True,8737.213423401188,44,198.573032350027,poor,8743.213423401188,8748.763866206318,1.8760248120082583e-06,True,1
81-90,exact_bose_einstein,1,True,7592.394166818577,44,172.5544128822404,poor,7598.394166818577,7603.944609623707,9.194326068709389e-06,True,3
81-90,tsallis,1,True,851.5290925265466,44,19.35293392105788,poor,857.5290925265466,863.0795353316768,5.104126415713958e-09,True,7
81-90,blast_wave,1,True,932.2790653891697,43,21.68090849742255,poor,940.2790653891697,947.6796557960099,2.8418396495134652e-06,True,26
81-90,manuscript_juttner,2,False,2094.9366684973,41,51.096016304812196,poor,2106.9366684973,2118.0375541075605,0.28591341490895217,True,1
81-90,exact_bose_einstein,2,False,1840.1869424821105,41,44.8826083532222,poor,1852.1869424821105,1863.2878280923708,0.016972009887699025,True,1
81-90,tsallis,2,True,851.5290949341972,41,20.769002315468224,poor,863.5290949341972,874.6299805444576,1.7627760124290795e-06,False,9
91-100,manuscript_juttner,1,True,8108.667852538422,44,184.2879057395096,poor,8114.667852538422,8120.218295343552,2.537566508626957e-06,True,1
91-100,exact_bose_einstein,1,True,6967.057378834437,44,158.34221315532812,poor,6973.057378834437,6978.607821639567,5.488693289498526e-06,True,3
91-100,tsallis,1,True,863.0355334469479,44,19.614443941976088,poor,869.0355334469479,874.585976252078,2.083948472147162e-06,True,6
91-100,blast_wave,1,True,716.7507143165222,43,16.668621263174938,poor,724.7507143165222,732.1513047233625,9.558500207280647e-05,True,15
91-100,manuscript_juttner,2,False,1801.0244217151994,41,43.92742491988291,poor,1813.0244217151994,1824.1253073254597,0.11662365524654841,False,3
91-100,exact_bose_einstein,2,True,1586.2107161686833,41,38.68806624801667,poor,1598.2107161686833,1609.3116017789437,0.0005848911524577469,False,6
91-100,tsallis,2,True,66.04045743086951,41,1.610742864167549,ok,78.04045743086951,89.14134304112986,4.468927229682809e-06,True,3
